AED	ERR11437317.asm.bp.p_ctg.all.maker.noseq.gff.renamed.gff
0.000	0.082
0.025	0.139
0.050	0.225
0.075	0.279
0.100	0.353
0.125	0.396
0.150	0.449
0.175	0.478
0.200	0.511
0.225	0.528
0.250	0.564
0.275	0.594
0.300	0.644
0.325	0.675
0.350	0.714
0.375	0.741
0.400	0.784
0.425	0.830
0.450	0.883
0.475	0.925
0.500	0.971
0.525	0.976
0.550	0.980
0.575	0.983
0.600	0.986
0.625	0.990
0.650	0.993
0.675	0.994
0.700	0.995
0.725	0.995
0.750	0.996
0.775	0.997
0.800	0.998
0.825	0.998
0.850	0.999
0.875	0.999
0.900	0.999
0.925	0.999
0.950	1.000
0.975	1.000
1.000	1.000
